parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,ceiling_leaf_timeout,ceiling_leaf_nodes,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,maxlpt_leaf_timeout,maxlpt_leaf_nodes,match_makespan,node_reduction_pct,speedup
jobs,4.0,0,40000,4,4,2.0,0.127899169921875,0,0,0.0,78.0,success,False,0,0.008002281188964844,0,0,0.0,78.0,success,False,0,True,,
jobs,4.0,1,40001,4,4,2.0,0.007000923156738281,0,0,0.0,72.0,success,False,0,0.008000612258911133,0,0,0.0,72.0,success,False,0,True,,
jobs,4.0,2,40002,4,4,2.0,0.008001565933227539,0,0,0.0,52.0,success,False,0,0.008000373840332031,0,0,0.0,52.0,success,False,0,True,,
jobs,4.0,3,40003,4,4,2.0,0.006998300552368164,0,0,0.0,36.0,success,False,0,0.006000518798828125,0,0,0.0,36.0,success,False,0,True,,
jobs,4.0,4,40004,4,4,2.0,0.008000373840332031,0,0,0.0,68.0,success,False,0,0.00800013542175293,0,0,0.0,68.0,success,False,0,True,,
jobs,6,0,60000,6,4,2.0,0.010551691055297852,0,0,0.0,160.0,success,False,0,0.011247873306274414,0,0,0.0,160.0,success,False,0,True,,
jobs,6,1,60001,6,4,2.0,0.008311033248901367,0,0,0.0,95.0,success,False,0,0.010000467300415039,0,0,0.0,95.0,success,False,0,True,,
jobs,6,2,60002,6,4,2.0,0.008998870849609375,0,0,0.0,132.0,success,False,0,0.0110015869140625,0,0,0.0,132.0,success,False,0,True,,
jobs,6,3,60003,6,4,2.0,0.007997989654541016,0,0,0.0,95.0,success,False,0,0.008001327514648438,0,0,0.0,95.0,success,False,0,True,,
jobs,6,4,60004,6,4,2.0,0.07772088050842285,975,900,0.9230769230769231,105.0,success,False,2,0.04291796684265137,507,469,0.9250493096646942,105.0,success,False,2,True,48.0,1.8109171106210176
jobs,8,0,80000,8,4,2.0,0.018000364303588867,0,0,0.0,155.0,success,False,0,0.021004199981689453,0,0,0.0,155.0,success,False,0,True,,
jobs,8,1,80001,8,4,2.0,0.010005950927734375,0,0,0.0,156.0,success,False,0,0.015000581741333008,0,0,0.0,156.0,success,False,0,True,,
jobs,8,2,80002,8,4,2.0,0.009002447128295898,0,0,0.0,160.0,success,False,0,0.014006614685058594,0,0,0.0,160.0,success,False,0,True,,
jobs,8,3,80003,8,4,2.0,0.011510372161865234,0,0,0.0,144.0,success,False,0,0.01300358772277832,0,0,0.0,144.0,success,False,0,True,,
jobs,8,4,80004,8,4,2.0,0.007997751235961914,0,0,0.0,133.0,success,False,0,0.01100015640258789,0,0,0.0,133.0,success,False,0,True,,
jobs,10,0,100000,10,4,2.0,0.010000467300415039,0,0,0.0,220.0,success,False,0,0.023003816604614258,0,0,0.0,220.0,success,False,0,True,,
jobs,10,1,100001,10,4,2.0,0.012003421783447266,0,0,0.0,396.0,success,False,0,0.03208136558532715,0,0,0.0,396.0,success,False,0,True,,
jobs,10,2,100002,10,4,2.0,0.014005184173583984,0,0,0.0,336.0,success,False,0,0.03600668907165527,0,0,0.0,336.0,success,False,0,True,,
jobs,10,3,100003,10,4,2.0,0.01099848747253418,0,0,0.0,240.0,success,False,0,0.02749800682067871,0,0,0.0,240.0,success,False,0,True,,
jobs,10,4,100004,10,4,2.0,0.009780645370483398,0,0,0.0,180.0,success,False,0,0.027004241943359375,0,0,0.0,180.0,success,False,0,True,,
jobs,12,0,120000,12,4,2.0,0.013417959213256836,0,0,0.0,270.0,success,False,0,0.04100751876831055,0,0,0.0,270.0,success,False,0,True,,
jobs,12,1,120001,12,4,2.0,0.01500082015991211,0,0,0.0,190.0,success,False,0,0.04900670051574707,0,0,0.0,190.0,success,False,0,True,,
jobs,12,2,120002,12,4,2.0,0.013170957565307617,0,0,0.0,168.0,success,False,0,0.041004180908203125,0,0,0.0,168.0,success,False,0,True,,
jobs,12,3,120003,12,4,2.0,0.014170646667480469,0,0,0.0,340.0,success,False,0,0.048328399658203125,0,0,0.0,340.0,success,False,0,True,,
jobs,12,4,120004,12,4,2.0,4.066869735717773,65690,63060,0.9599634647587152,240.0,success,False,101,1.5585637092590332,11767,11001,0.934902693974675,240.0,success,False,81,True,82.08707565839549,2.6093702243658874
jobs,14,0,140000,14,4,2.0,0.019112586975097656,0,0,0.0,300.0,success,False,0,0.06801486015319824,0,0,0.0,300.0,success,False,0,True,,
jobs,14,1,140001,14,4,2.0,0.021001815795898438,0,0,0.0,660.0,success,False,0,0.08601617813110352,0,0,0.0,660.0,success,False,0,True,,
jobs,14,2,140002,14,4,2.0,0.28804612159729004,5016,4851,0.9671052631578947,480.0,success,False,5,0.18029475212097168,1500,1430,0.9533333333333334,480.0,success,False,4,True,70.0956937799043,1.597640076645275
jobs,14,3,140003,14,4,2.0,0.019430160522460938,0,0,0.0,279.0,success,False,0,0.08301925659179688,0,0,0.0,279.0,success,False,0,True,,
jobs,14,4,140004,14,4,2.0,0.019570350646972656,0,0,0.0,544.0,success,False,0,0.08101534843444824,0,0,0.0,544.0,success,False,0,True,,
jobs,16,0,160000,16,4,2.0,0.021292924880981445,0,0,0.0,527.0,success,False,0,0.11001825332641602,0,0,0.0,527.0,success,False,0,True,,
jobs,16,1,160001,16,4,2.0,44.713613986968994,924529,900150,0.9736308974623835,323.0,success,False,1,0.5790174007415771,8345,7969,0.9549430796884362,323.0,success,False,1,True,99.09737823259195,77.2232646716696
jobs,16,2,160002,16,4,2.0,0.024001121520996094,0,0,0.0,646.0,success,False,0,0.11612844467163086,0,0,0.0,646.0,success,False,0,True,,
jobs,16,3,160003,16,4,2.0,0.018697738647460938,0,0,0.0,378.0,success,False,0,0.1080164909362793,0,0,0.0,378.0,success,False,0,True,,
jobs,16,4,160004,16,4,2.0,0.015949487686157227,0,0,0.0,288.0,success,False,0,0.07601237297058105,0,0,0.0,288.0,success,False,0,True,,
jobs,18,0,180000,18,4,2.0,0.051242828369140625,0,0,0.0,420.0,success,False,0,0.1970350742340088,0,0,0.0,420.0,success,False,0,True,,
jobs,18,1,180001,18,4,2.0,0.025006771087646484,0,0,0.0,475.0,success,False,0,0.16813325881958008,0,0,0.0,475.0,success,False,0,True,,
jobs,18,2,180002,18,4,2.0,23.7005615234375,459531,452397,0.9844754760832239,400.0,success,False,70,2.7056753635406494,25505,24648,0.9663987453440502,400.0,success,False,69,True,94.44977596723616,8.759573244745416
jobs,18,3,180003,18,4,2.0,0.028005599975585938,0,0,0.0,660.0,success,False,0,0.1735377311706543,0,0,0.0,660.0,success,False,0,True,,
jobs,18,4,180004,18,4,2.0,0.030077457427978516,0,0,0.0,656.0,success,False,0,0.20003294944763184,0,0,0.0,656.0,success,False,0,True,,
jobs,20,0,200000,20,4,2.0,0.03420829772949219,0,0,0.0,672.0,success,False,0,0.2510547637939453,0,0,0.0,672.0,success,False,0,True,,
jobs,20,1,200001,20,4,2.0,0.03097367286682129,0,0,0.0,520.0,success,False,0,0.24605894088745117,0,0,0.0,520.0,success,False,0,True,,
jobs,20,2,200002,20,4,2.0,6.473888397216797,120174,118719,0.9878925557940985,738.0,success,False,9,1.7182507514953613,20633,20334,0.9855086511898415,738.0,success,False,9,True,82.83072877660726,3.76772039330272
jobs,20,3,200003,20,4,2.0,0.035241127014160156,0,0,0.0,774.0,success,False,0,0.26914262771606445,0,0,0.0,774.0,success,False,0,True,,
jobs,20,4,200004,20,4,2.0,0.05200982093811035,0,0,0.0,893.0,success,False,0,0.3290693759918213,0,0,0.0,893.0,success,False,0,True,,
jobs,22,0,220000,22,4,2.0,3934.4747428894043,45094257,44388603,0.9843515771864253,493.0,success,False,294,32.062217712402344,496418,489870,0.9868095032815087,493.0,success,False,294,True,98.8991547194136,122.71374295382775
jobs,22,1,220001,22,4,2.0,0.09600567817687988,0,0,0.0,940.0,success,False,0,0.47133517265319824,0,0,0.0,940.0,success,False,0,True,,
jobs,22,2,220002,22,4,2.0,0.039002418518066406,0,0,0.0,390.0,success,False,0,0.34652256965637207,0,0,0.0,390.0,success,False,0,True,,
jobs,22,3,220003,22,4,2.0,0.04500150680541992,0,0,0.0,840.0,success,False,0,0.43902015686035156,0,0,0.0,840.0,success,False,0,True,,
jobs,22,4,220004,22,4,2.0,55.44385290145874,1029270,1013783,0.984953413584385,648.0,success,False,22,1.9403722286224365,13764,13388,0.972682359779134,648.0,success,False,21,True,98.6627415546941,28.573823147747788
jobs,24,0,240000,24,4,2.0,0.0590052604675293,0,0,0.0,935.0,success,False,0,0.6140460968017578,0,0,0.0,935.0,success,False,0,True,,
jobs,24,1,240001,24,4,2.0,0.04900360107421875,0,0,0.0,810.0,success,False,0,0.46452760696411133,0,0,0.0,810.0,success,False,0,True,,
jobs,24,2,240002,24,4,2.0,0.05851316452026367,0,0,0.0,702.0,success,False,0,0.6080403327941895,0,0,0.0,702.0,success,False,0,True,,
jobs,24,3,240003,24,4,2.0,0.05400252342224121,0,0,0.0,855.0,success,False,0,0.6015524864196777,0,0,0.0,855.0,success,False,0,True,,
jobs,24,4,240004,24,4,2.0,0.059004783630371094,0,0,0.0,990.0,success,False,0,0.6080410480499268,0,0,0.0,990.0,success,False,0,True,,
jobs,26,0,260000,26,4,2.0,159.02181386947632,2755080,2724506,0.9889026815918232,900.0,success,False,289,14.299592018127441,128837,126502,0.9818763243478194,900.0,success,False,213,True,95.32365666332738,11.120723840784132
jobs,26,1,260001,26,4,2.0,0.07700443267822266,0,0,0.0,488.0,success,False,0,0.8295958042144775,0,0,0.0,488.0,success,False,0,True,,
jobs,26,2,260002,26,4,2.0,0.07200217247009277,0,0,0.0,840.0,success,False,0,0.9815628528594971,0,0,0.0,840.0,success,False,0,True,,
jobs,26,3,260003,26,4,2.0,0.08100485801696777,0,0,0.0,715.0,success,False,0,0.8725545406341553,0,0,0.0,715.0,success,False,0,True,,
jobs,26,4,260004,26,4,2.0,0.07700538635253906,0,0,0.0,663.0,success,False,0,1.0525691509246826,0,0,0.0,663.0,success,False,0,True,,
jobs,28,0,280000,28,4,2.0,0.13100624084472656,0,0,0.0,1102.0,success,False,0,1.1270604133605957,0,0,0.0,1102.0,success,False,0,True,,
jobs,28,1,280001,28,4,2.0,0.08951234817504883,0,0,0.0,1007.0,success,False,0,1.133070945739746,0,0,0.0,1007.0,success,False,0,True,,
jobs,28,2,280002,28,4,2.0,0.08600163459777832,0,0,0.0,648.0,success,False,0,1.106058120727539,0,0,0.0,648.0,success,False,0,True,,
jobs,28,3,280003,28,4,2.0,0.0820009708404541,0,0,0.0,848.0,success,False,0,0.9580488204956055,0,0,0.0,848.0,success,False,0,True,,
jobs,28,4,280004,28,4,2.0,0.0780026912689209,0,0,0.0,732.0,success,False,0,1.030555248260498,0,0,0.0,732.0,success,False,0,True,,
jobs,30,0,300000,30,4,2.0,0.09800434112548828,0,0,0.0,748.0,success,False,0,1.3445746898651123,0,0,0.0,748.0,success,False,0,True,,
jobs,30,1,300001,30,4,2.0,3807.323802947998,47648957,47273636,0.9921232063904358,928.0,success,False,489,265.3232765197754,861756,854590,0.9916844211122405,928.0,success,False,489,True,98.19144834586831,14.349754205090356
jobs,30,2,300002,30,4,2.0,0.10015201568603516,0,0,0.0,1040.0,success,False,0,1.4155943393707275,0,0,0.0,1040.0,success,False,0,True,,
jobs,30,3,300003,30,4,2.0,4144.944292783737,47230959,46645600,0.9876064553336721,660.0,success,False,741,136.67837238311768,886214,869788,0.9814649734714189,660.0,success,False,567,True,98.12365867904566,30.32626318643311
jobs,30,4,300004,30,4,2.0,0.2500009536743164,0,0,0.0,880.0,success,False,0,1.3455235958099365,0,0,0.0,880.0,success,False,0,True,,
jobs,32,0,320000,32,4,2.0,0.15700030326843262,0,0,0.0,828.0,success,False,0,2.2990527153015137,0,0,0.0,828.0,success,False,0,True,,
jobs,32,1,320001,32,4,2.0,0.18600010871887207,0,0,0.0,1520.0,success,False,0,2.511552333831787,0,0,0.0,1520.0,success,False,0,True,,
jobs,32,2,320002,32,4,2.0,0.16499710083007812,0,0,0.0,952.0,success,False,0,2.510531425476074,0,0,0.0,952.0,success,False,0,True,,
jobs,32,3,320003,32,4,2.0,0.13451170921325684,0,0,0.0,720.0,success,False,0,2.2180607318878174,0,0,0.0,720.0,success,False,0,True,,
jobs,32,4,320004,32,4,2.0,0.16900229454040527,0,0,0.0,864.0,success,False,0,2.692133903503418,0,0,0.0,864.0,success,False,0,True,,
jobs,34,0,340000,34,4,2.0,0.136000394821167,0,0,0.0,1200.0,success,False,0,2.3175277709960938,0,0,0.0,1200.0,success,False,0,True,,
jobs,34,1,340001,34,4,2.0,0.17699909210205078,0,0,0.0,1500.0,success,False,0,3.7665958404541016,0,0,0.0,1500.0,success,False,0,True,,
jobs,34,2,340002,34,4,2.0,4169.775762557983,49316978,48832368,0.9901735665960716,553.0,success,False,308,672.1128935813904,10873331,10690200,0.9831577830197572,553.0,success,False,781,True,77.95215473259533,6.203981209673132
jobs,34,3,340003,34,4,2.0,0.15799736976623535,0,0,0.0,1185.0,success,False,0,2.753480911254883,0,0,0.0,1185.0,success,False,0,True,,
jobs,34,4,340004,34,4,2.0,4573.068185567856,58950935,58412521,0.9908667436742098,684.0,success,False,391,197.30050706863403,3320719,3257112,0.9808454132975419,684.0,success,False,855,True,94.36697823367857,23.17818769709012
jobs,36,0,360000,36,4,2.0,4329.435664176941,58056465,57714525,0.9941102166657925,901.0,success,False,121,67.74140882492065,1349583,1338723,0.9919530699482729,901.0,success,False,121,True,97.67539584092832,63.911213824419775
jobs,36,1,360001,36,4,2.0,0.16468000411987305,0,0,0.0,1216.0,success,False,0,3.0776426792144775,0,0,0.0,1216.0,success,False,0,True,,
jobs,36,2,360002,36,4,2.0,0.1649785041809082,0,0,0.0,979.0,success,False,0,2.7694759368896484,0,0,0.0,979.0,success,False,0,True,,
jobs,36,3,360003,36,4,2.0,0.17199397087097168,0,0,0.0,1680.0,success,False,0,3.087045907974243,0,0,0.0,1680.0,success,False,0,True,,
jobs,36,4,360004,36,4,2.0,944.8381724357605,0,0,0.0,inf,error: Leaf node evaluation exceeded 900.0s limit,False,0,78.23954391479492,170139,158276,0.9302746577798153,1120.0,success,False,323,False,,
jobs,38,0,380000,38,4,2.0,0.18722081184387207,0,0,0.0,1190.0,success,False,0,3.3629138469696045,0,0,0.0,1190.0,success,False,0,True,,
jobs,38,1,380001,38,4,2.0,0.15500330924987793,0,0,0.0,1258.0,success,False,0,2.809547185897827,0,0,0.0,1258.0,success,False,0,True,,
jobs,38,2,380002,38,4,2.0,0.1801753044128418,0,0,0.0,1580.0,success,False,0,3.339731216430664,0,0,0.0,1580.0,success,False,0,True,,
jobs,38,3,380003,38,4,2.0,0.21338701248168945,0,0,0.0,1428.0,success,False,0,4.2931084632873535,0,0,0.0,1428.0,success,False,0,True,,
jobs,38,4,380004,38,4,2.0,0.1650683879852295,0,0,0.0,1350.0,success,False,0,3.0522656440734863,0,0,0.0,1350.0,success,False,0,True,,
jobs,40,0,400000,40,4,2.0,0.22322750091552734,0,0,0.0,1760.0,success,False,0,4.60324501991272,0,0,0.0,1760.0,success,False,0,True,,
jobs,40,1,400001,40,4,2.0,0.20600152015686035,0,0,0.0,1092.0,success,False,0,3.8119451999664307,0,0,0.0,1092.0,success,False,0,True,,
jobs,40,2,400002,40,4,2.0,0.20749735832214355,0,0,0.0,1634.0,success,False,0,4.234680891036987,0,0,0.0,1634.0,success,False,0,True,,
jobs,40,3,400003,40,4,2.0,0.22348380088806152,0,0,0.0,1302.0,success,False,0,4.538119554519653,0,0,0.0,1302.0,success,False,0,True,,
jobs,40,4,400004,40,4,2.0,0.1809995174407959,0,0,0.0,1326.0,success,False,0,3.6251893043518066,0,0,0.0,1326.0,success,False,0,True,,
jobs,42,0,420000,42,4,2.0,4431.357983112335,0,0,0.0,inf,error: ,False,0,99.67818689346313,1044551,1021622,0.9780489416026599,1204.0,success,False,906,False,,
jobs,42,1,420001,42,4,2.0,1618.9519171714783,24553547,24399852,0.9937404155904643,1512.0,success,False,195,14.555860042572021,83394,82680,0.9914382329664004,1512.0,success,False,85,True,99.66035864390591,111.22337755628827
jobs,42,2,420002,42,4,2.0,0.22093677520751953,0,0,0.0,1064.0,success,False,0,4.626328229904175,0,0,0.0,1064.0,success,False,0,True,,
jobs,42,3,420003,42,4,2.0,0.22082757949829102,0,0,0.0,1054.0,success,False,0,4.585979461669922,0,0,0.0,1054.0,success,False,0,True,,
jobs,42,4,420004,42,4,2.0,4526.6217296123505,55269118,55042389,0.9958977271900739,1380.0,success,False,37,55.24121022224426,1031703,1027518,0.9959436000476881,1380.0,success,False,37,True,98.13331017875117,81.94284142945138
jobs,44,0,440000,44,4,2.0,0.2859995365142822,0,0,0.0,1740.0,success,False,0,6.34833288192749,0,0,0.0,1740.0,success,False,0,True,,
jobs,44,1,440001,44,4,2.0,0.28317832946777344,0,0,0.0,1440.0,success,False,0,6.4345715045928955,0,0,0.0,1440.0,success,False,0,True,,
jobs,44,2,440002,44,4,2.0,0.28550171852111816,0,0,0.0,1980.0,success,False,0,6.486038446426392,0,0,0.0,1980.0,success,False,0,True,,
jobs,44,3,440003,44,4,2.0,0.28368639945983887,0,0,0.0,1425.0,success,False,0,6.302821159362793,0,0,0.0,1425.0,success,False,0,True,,
jobs,44,4,440004,44,4,2.0,0.29416775703430176,0,0,0.0,1919.0,success,False,0,6.4951183795928955,0,0,0.0,1919.0,success,False,0,True,,
jobs,46,0,460000,46,4,2.0,0.35051393508911133,0,0,0.0,1890.0,success,False,0,8.181380987167358,0,0,0.0,1890.0,success,False,0,True,,
jobs,46,1,460001,46,4,2.0,0.2933464050292969,0,0,0.0,1824.0,success,False,0,6.899316310882568,0,0,0.0,1824.0,success,False,0,True,,
jobs,46,2,460002,46,4,2.0,2345.0013616085052,30968294,30762661,0.9933598860821975,1785.0,success,False,10,18.89130711555481,205570,204693,0.995733813299606,1785.0,success,False,10,True,99.33619204209312,124.13123916013559
jobs,46,3,460003,46,4,2.0,0.3039543628692627,0,0,0.0,1104.0,success,False,0,7.029368162155151,0,0,0.0,1104.0,success,False,0,True,,
jobs,46,4,460004,46,4,2.0,0.349501371383667,0,0,0.0,2052.0,success,False,0,8.626061201095581,0,0,0.0,2052.0,success,False,0,True,,
jobs,48,0,480000,48,4,2.0,0.350006103515625,0,0,0.0,1960.0,success,False,0,8.978374719619751,0,0,0.0,1960.0,success,False,0,True,,
jobs,48,1,480001,48,4,2.0,0.3442411422729492,0,0,0.0,1420.0,success,False,0,8.573585510253906,0,0,0.0,1420.0,success,False,0,True,,
jobs,48,2,480002,48,4,2.0,0.37043333053588867,0,0,0.0,2100.0,success,False,0,9.281646966934204,0,0,0.0,2100.0,success,False,0,True,,
jobs,48,3,480003,48,4,2.0,0.35558462142944336,0,0,0.0,2260.0,success,False,0,8.518724918365479,0,0,0.0,2260.0,success,False,0,True,,
jobs,48,4,480004,48,4,2.0,4516.771375179291,0,0,0.0,inf,error: ,False,0,96.33670282363892,1480889,1472809,0.9945438179363882,1824.0,success,False,51,False,,
jobs,50,0,500000,50,4,2.0,0.3939967155456543,0,0,0.0,1940.0,success,False,0,8.2915678024292,0,0,0.0,1940.0,success,False,0,True,,
jobs,50,1,500001,50,4,2.0,0.39901065826416016,0,0,0.0,1482.0,success,False,0,10.296818494796753,0,0,0.0,1482.0,success,False,0,True,,
jobs,50,2,500002,50,4,2.0,0.4151649475097656,0,0,0.0,2052.0,success,False,0,10.479609489440918,0,0,0.0,2052.0,success,False,0,True,,
jobs,50,3,500003,50,4,2.0,0.3740255832672119,0,0,0.0,1800.0,success,False,0,9.741643190383911,0,0,0.0,1800.0,success,False,0,True,,
